ETP_DN2_DOWN;ETP_DN2_UP;DN2-DN3a_DOWN;DN2-DN3a_UP;DN3a_DN3b_DOWN;DN3a_DN3b_UP;DN3b_DN3-4_DOWN;DN3b_DN3-4_UP;DN3-4_ISP_DOWN;DN3-4_ISP_UP;ISP_DP_DOWN;ISP_DP_UP
;;RBPMS;;;MCM5;;;;;SFRS2;
;;MC5R;;;EIF2S1;;;;;LAS1L;
;;SAMHD1;;;null;;;;;SMN1;
;;RAB31;;;null;;;;;STRA13;
;;ITGAX;;;HELLS;;;;;PGRMC1;
;;IRF5;;;POLD2;;;;;MAGOH;
;;ANXA1;;;CCT8;;;;;COX7C;
;;CHN2;;;SYCE2;;;;;SEPHS2;
;;LITAF;;;POLA1;;;;;ALAD;
;;KIT;;;SLBP;;;;;MCM3;
;;FOS;;;MTCH2;;;;;ABCF2;
;;IPO7;;;LAP3;;;;;FBL;
;;GGTA1;;;ME2;;;;;null;
;;CCRL2;;;null;;;;;HTATSF1;
;;ADD3;;;RFC4;;;;;EIF1B;
;;SMC3;;;KPNA3;;;;;TMED2;
;;ATP1B3;;;RFC3;;;;;BARD1;
;;null;;;CHCHD4;;;;;NUTF2;
;;HSP90AA1;;;CSE1L;;;;;MPP6;
;;THBD;;;CCT6A;;;;;PIGQ;
;;null;;;MTHFD1;;;;;TAF9;
;;PIM1;;;MPP4;;;;;THOC7;
;;ELTD1;;;IPO7;;;;;HSPE1;
;;HIST1H2BC;;;CD28;;;;;ORC1L;
;;IER2;;;COPS5;;;;;CBWD1;
;;LST1;;;HSP90AA1;;;;;SLC31A1;
;;TRIM13;;;GART;;;;;TOMM70A;
;;FGD2;;;HIST1H2BC;;;;;PIGF;
;;PLCG2;;;TMED5;;;;;BRE;
;;SLC22A3;;;PPA1;;;;;SNRPA1;
;;CD7;;;EXOSC8;;;;;CHCHD1;
;;PLEK;;;;;;;;GLMN;
;;S100A10;;;;;;;;NEDD8;
;;ITGA4;;;;;;;;THAP2;
;;ARHGAP18;;;;;;;;ADK;
;;ALDH1B1;;;;;;;;NCL;
;;BCAP29;;;;;;;;PRIM1;
;;TYROBP;;;;;;;;LSM3;
;;CALCRL;;;;;;;;PPIE;
;;PLA2G4A;;;;;;;;HSF2;
;;SOCS2;;;;;;;;ELAC2;
;;OGFRL1;;;;;;;;ANAPC5;
;;IFITM1;;;;;;;;RANGAP1;
;;CREG1;;;;;;;;PTGES3;
;;GZMB;;;;;;;;STX17;
;;MUC13;;;;;;;;PTPN4;
;;HHEX;;;;;;;;UBE2V2;
;;CPA3;;;;;;;;VDAC1;
;;F2R;;;;;;;;MIF;
;;FUT8;;;;;;;;NT5DC2;
;;ALOX5AP;;;;;;;;EEF1D;
;;RGS18;;;;;;;;TIAL1;
;;CD48;;;;;;;;GFRA1;
;;JUN;;;;;;;;MRPL13;
;;DAPP1;;;;;;;;NDUFB10;
;;CYFIP1;;;;;;;;TOP1MT;
;;PLAC8;;;;;;;;RIPK3;
;;NKG7;;;;;;;;MND1;
;;NFE2;;;;;;;;RPS27L;
;;null;;;;;;;;TOP1;
;;CASP1;;;;;;;;COX17;
;;B3GNT5;;;;;;;;STARD7;
;;null;;;;;;;;USP10;
;;PLSCR1;;;;;;;;RPA2;
;;IFITM3;;;;;;;;CARS;
;;null;;;;;;;;FAIM;
;;IFITM2;;;;;;;;RPA1;
;;null;;;;;;;;ORC3L;
;;;;;;;;;;PMS2;
;;;;;;;;;;UCHL5;
;;;;;;;;;;CLTB;
;;;;;;;;;;HCCS;
;;;;;;;;;;COX6A1;
;;;;;;;;;;NDUFA2;
;;;;;;;;;;NUDT5;
;;;;;;;;;;null;
;;;;;;;;;;PCNA;
;;;;;;;;;;CCDC99;
;;;;;;;;;;LRDD;
;;;;;;;;;;SH2D1A;
;;;;;;;;;;EIF2S2;
;;;;;;;;;;GSTZ1;
;;;;;;;;;;SAP18;
;;;;;;;;;;LRRC40;
;;;;;;;;;;TSPAN5;
;;;;;;;;;;COX5A;
;;;;;;;;;;TFRC;
;;;;;;;;;;null;
;;;;;;;;;;UTP6;
;;;;;;;;;;CTPS;
;;;;;;;;;;PPP1R7;
;;;;;;;;;;NEK1;
;;;;;;;;;;CCT2;
;;;;;;;;;;BUB1B;
;;;;;;;;;;SMS;
;;;;;;;;;;PTP4A2;
;;;;;;;;;;ANP32E;
;;;;;;;;;;ACTL6A;
;;;;;;;;;;RPS21;
;;;;;;;;;;PSMA3;
;;;;;;;;;;NUDT21;
;;;;;;;;;;SFMBT1;
;;;;;;;;;;COQ5;
;;;;;;;;;;COX4I1;
;;;;;;;;;;TRPM7;
;;;;;;;;;;WDR43;
;;;;;;;;;;EME1;
;;;;;;;;;;METTL5;
;;;;;;;;;;null;
;;;;;;;;;;RPL37A;
;;;;;;;;;;HSD17B12;
;;;;;;;;;;POLR2L;
;;;;;;;;;;ARF2;
;;;;;;;;;;SLC39A6;
;;;;;;;;;;ZW10;
;;;;;;;;;;GZMA;
;;;;;;;;;;ASF1B;
;;;;;;;;;;DENR;
;;;;;;;;;;ANP32B;
;;;;;;;;;;B4GALT1;
;;;;;;;;;;TIMM9;
;;;;;;;;;;RPN1;
;;;;;;;;;;BCKDHB;
;;;;;;;;;;GBE1;
;;;;;;;;;;SNRPE;
;;;;;;;;;;PRDX6;
;;;;;;;;;;GNPNAT1;
;;;;;;;;;;PRMT5;
;;;;;;;;;;null;
;;;;;;;;;;PSMD14;
;;;;;;;;;;RQCD1;
;;;;;;;;;;RAB23;
;;;;;;;;;;RTN4IP1;
;;;;;;;;;;GNPTAB;
;;;;;;;;;;MCM10;
;;;;;;;;;;CPNE2;
;;;;;;;;;;PRKCI;
;;;;;;;;;;PDCD5;
;;;;;;;;;;NACA;
;;;;;;;;;;TYMS;
;;;;;;;;;;DUT;
;;;;;;;;;;RRN3;
;;;;;;;;;;ERH;
;;;;;;;;;;RPS15;
;;;;;;;;;;null;
;;;;;;;;;;THOP1;
;;;;;;;;;;PSMD13;
;;;;;;;;;;GOT1;
;;;;;;;;;;USMG5;
;;;;;;;;;;OXSM;
;;;;;;;;;;null;
;;;;;;;;;;MRPL15;
;;;;;;;;;;TPT1;
;;;;;;;;;;MPP7;
;;;;;;;;;;TBRG4;
;;;;;;;;;;TKT;
;;;;;;;;;;PPAN;
;;;;;;;;;;OCIAD1;
;;;;;;;;;;CETN3;
;;;;;;;;;;CDT1;
;;;;;;;;;;EXO1;
;;;;;;;;;;MATR3;
;;;;;;;;;;TDP1;
;;;;;;;;;;CCDC53;
;;;;;;;;;;GPHN;
;;;;;;;;;;SMC6;
;;;;;;;;;;CNIH;
;;;;;;;;;;EXOSC9;
;;;;;;;;;;MYO5A;
;;;;;;;;;;RPS8;
;;;;;;;;;;PSMA4;
;;;;;;;;;;PRKDC;
;;;;;;;;;;SUCLA2;
;;;;;;;;;;COPS4;
;;;;;;;;;;NDUFB8;
;;;;;;;;;;RRM1;
;;;;;;;;;;HUWE1;
;;;;;;;;;;FAF1;
;;;;;;;;;;FOXRED1;
;;;;;;;;;;TUBB2C;
;;;;;;;;;;SET;
;;;;;;;;;;BLMH;
;;;;;;;;;;THOC1;
;;;;;;;;;;PSMC1;
;;;;;;;;;;TAF15;
;;;;;;;;;;GPX1;
;;;;;;;;;;SIP1;
;;;;;;;;;;SUMO2;
;;;;;;;;;;null;
;;;;;;;;;;NME1;
;;;;;;;;;;TFPI;
;;;;;;;;;;GNL3;
;;;;;;;;;;CDK2AP1;
;;;;;;;;;;ZBTB8OS;
;;;;;;;;;;RSU1;
;;;;;;;;;;DYNLL2;
;;;;;;;;;;HMGCS1;
;;;;;;;;;;CUL1;
;;;;;;;;;;GRSF1;
;;;;;;;;;;PMF1;
;;;;;;;;;;HSPA5;
;;;;;;;;;;FANCA;
;;;;;;;;;;RPS25;
;;;;;;;;;;ATP5H;
;;;;;;;;;;WDR36;
;;;;;;;;;;MTG1;
;;;;;;;;;;null;
;;;;;;;;;;MAT2A;
;;;;;;;;;;USP39;
;;;;;;;;;;null;
;;;;;;;;;;RRS1;
;;;;;;;;;;WDR75;
;;;;;;;;;;DDX18;
;;;;;;;;;;UCHL3;
;;;;;;;;;;EIF5B;
;;;;;;;;;;RPL35;
;;;;;;;;;;EFTUD2;
;;;;;;;;;;MTX1;
;;;;;;;;;;null;
;;;;;;;;;;ADPGK;
;;;;;;;;;;MOSPD2;
;;;;;;;;;;LIAS;
;;;;;;;;;;SEC61A1;
;;;;;;;;;;null;
;;;;;;;;;;NUDC;
;;;;;;;;;;ODF2L;
;;;;;;;;;;G6PC3;
;;;;;;;;;;RPL39;
;;;;;;;;;;null;
;;;;;;;;;;THYN1;
;;;;;;;;;;NARS;
;;;;;;;;;;OPA1;
;;;;;;;;;;DDX39;
;;;;;;;;;;EEF1E1;
;;;;;;;;;;LGALS1;
;;;;;;;;;;SORD;
;;;;;;;;;;DHDDS;
;;;;;;;;;;CDC25A;
;;;;;;;;;;RFWD3;
;;;;;;;;;;null;
;;;;;;;;;;TK1;
;;;;;;;;;;RPL11;
;;;;;;;;;;DAP3;
;;;;;;;;;;HSP90B1;
;;;;;;;;;;NME2;
;;;;;;;;;;NUP188;
;;;;;;;;;;USP14;
;;;;;;;;;;SNRPD2;
;;;;;;;;;;MRPS18C;
;;;;;;;;;;TMEM48;
;;;;;;;;;;RPSA;
;;;;;;;;;;GARS;
;;;;;;;;;;null;
;;;;;;;;;;WBP5;
;;;;;;;;;;POLR2H;
;;;;;;;;;;UFD1L;
;;;;;;;;;;RFC1;
;;;;;;;;;;KRAS;
;;;;;;;;;;RAD17;
;;;;;;;;;;NASP;
;;;;;;;;;;POLH;
;;;;;;;;;;PRDX1;
;;;;;;;;;;DONSON;
;;;;;;;;;;RPL41;
;;;;;;;;;;ATP5G1;
;;;;;;;;;;CPSF2;
;;;;;;;;;;ATP6V1C1;
;;;;;;;;;;null;
;;;;;;;;;;ROCK2;
;;;;;;;;;;PSMA6;
;;;;;;;;;;PTCD2;
;;;;;;;;;;TSN;
;;;;;;;;;;NUDCD1;
;;;;;;;;;;RPS15A;
;;;;;;;;;;PSMB3;
;;;;;;;;;;NDUFS1;
;;;;;;;;;;RPL35A;
;;;;;;;;;;KCNQ5;
;;;;;;;;;;VTI1B;
;;;;;;;;;;POLD1;
;;;;;;;;;;PSMB7;
;;;;;;;;;;ATP5L;
;;;;;;;;;;XPO4;
;;;;;;;;;;IDH3A;
;;;;;;;;;;SMYD5;
;;;;;;;;;;ATP5E;
;;;;;;;;;;IMMT;
;;;;;;;;;;SEPHS1;
;;;;;;;;;;UBE2N;
;;;;;;;;;;COMMD6;
;;;;;;;;;;PEX7;
;;;;;;;;;;PDE7A;
;;;;;;;;;;RARS;
;;;;;;;;;;AARSD1;
;;;;;;;;;;TOMM20;
;;;;;;;;;;YARS;
;;;;;;;;;;DDX1;
;;;;;;;;;;PSMA2;
;;;;;;;;;;SLC35B1;
;;;;;;;;;;DEK;
;;;;;;;;;;KCTD5;
;;;;;;;;;;RPP30;
;;;;;;;;;;PHTF2;
;;;;;;;;;;CBX3;
;;;;;;;;;;RPL13A;
;;;;;;;;;;HSPA4;
;;;;;;;;;;SERBP1;
;;;;;;;;;;null;
;;;;;;;;;;NDUFB6;
;;;;;;;;;;QTRTD1;
;;;;;;;;;;ANKRD12;
;;;;;;;;;;IFNAR2;
;;;;;;;;;;CNBP;
;;;;;;;;;;NIP7;
;;;;;;;;;;AATF;
;;;;;;;;;;FANCL;
;;;;;;;;;;MASP1;
;;;;;;;;;;USP5;
;;;;;;;;;;ABCE1;
;;;;;;;;;;TMEM109;
;;;;;;;;;;ETF1;
;;;;;;;;;;PARL;
;;;;;;;;;;SDCCAG1;
;;;;;;;;;;SRPK1;
;;;;;;;;;;DRAP1;
;;;;;;;;;;STMN1;
;;;;;;;;;;MRPL45;
;;;;;;;;;;ATAD3A;
;;;;;;;;;;TIMM8B;
;;;;;;;;;;AS3MT;
;;;;;;;;;;PTP4A1;
;;;;;;;;;;SMO;
;;;;;;;;;;MYBBP1A;
;;;;;;;;;;NDUFS4;
;;;;;;;;;;PHB2;
;;;;;;;;;;SLC43A3;
;;;;;;;;;;NUP88;
;;;;;;;;;;TEX10;
;;;;;;;;;;GEMIN6;
;;;;;;;;;;LTV1;
;;;;;;;;;;null;
;;;;;;;;;;PAK1IP1;
;;;;;;;;;;XPO1;
;;;;;;;;;;OAT;
;;;;;;;;;;POLR2G;
;;;;;;;;;;SARS;
;;;;;;;;;;PPM1G;
;;;;;;;;;;PYCRL;
;;;;;;;;;;HSP90AB1;
;;;;;;;;;;RPL8;
;;;;;;;;;;PEX3;
;;;;;;;;;;NDUFAB1;
;;;;;;;;;;null;
;;;;;;;;;;FKBP5;
;;;;;;;;;;UQCRB;
;;;;;;;;;;RANBP1;
;;;;;;;;;;ACBD6;
;;;;;;;;;;EIF2B1;
;;;;;;;;;;ACAT2;
;;;;;;;;;;RSL1D1;
;;;;;;;;;;PPIA;
;;;;;;;;;;AHCY;
;;;;;;;;;;null;
;;;;;;;;;;null;
;;;;;;;;;;null;
;;;;;;;;;;MRPS17;
;;;;;;;;;;PTPN2;
;;;;;;;;;;RNPS1;
;;;;;;;;;;TRNT1;
;;;;;;;;;;PSMD12;
;;;;;;;;;;ANP32A;
;;;;;;;;;;TRAIP;
;;;;;;;;;;SMYD2;
;;;;;;;;;;MRPL9;
;;;;;;;;;;RPS2;
;;;;;;;;;;MKI67IP;
;;;;;;;;;;RPL7L1;
;;;;;;;;;;SLC25A5;
;;;;;;;;;;null;
;;;;;;;;;;WDR5;
;;;;;;;;;;ARMC1;
;;;;;;;;;;NDUFA4;
;;;;;;;;;;HADH;
;;;;;;;;;;ETFA;
;;;;;;;;;;DNAJC9;
;;;;;;;;;;EXOSC2;
;;;;;;;;;;CDC42;
;;;;;;;;;;DDX56;
;;;;;;;;;;KIF2A;
;;;;;;;;;;POLE2;
;;;;;;;;;;NUP43;
;;;;;;;;;;RPS26;
;;;;;;;;;;PRC1;
;;;;;;;;;;XPO5;
;;;;;;;;;;PSMC2;
;;;;;;;;;;KDELC1;
;;;;;;;;;;null;
;;;;;;;;;;CLCN5;
;;;;;;;;;;POLD3;
;;;;;;;;;;ST6GALNAC4;
;;;;;;;;;;WDR46;
;;;;;;;;;;RAD54L;
;;;;;;;;;;SLC25A3;
;;;;;;;;;;MRPL1;
;;;;;;;;;;UQCRH;
;;;;;;;;;;null;
;;;;;;;;;;ATM;
;;;;;;;;;;EZH2;
;;;;;;;;;;SKP1A;
;;;;;;;;;;PFDN2;
;;;;;;;;;;ASRGL1;
;;;;;;;;;;ATPBD4;
;;;;;;;;;;RPS6;
;;;;;;;;;;MORF4L2;
;;;;;;;;;;YEATS4;
;;;;;;;;;;SF3B5;
;;;;;;;;;;SNX5;
;;;;;;;;;;LARS;
;;;;;;;;;;SKIV2L2;
;;;;;;;;;;DOHH;
;;;;;;;;;;null;
;;;;;;;;;;MRPS18A;
;;;;;;;;;;MPHOSPH9;
;;;;;;;;;;RAD51L1;
;;;;;;;;;;RPL36AL;
;;;;;;;;;;POLR2D;
;;;;;;;;;;SRM;
;;;;;;;;;;TRMT1;
;;;;;;;;;;IL7R;
;;;;;;;;;;EHD4;
;;;;;;;;;;RPS18;
;;;;;;;;;;DNAJC11;
;;;;;;;;;;CUL2;
;;;;;;;;;;MED6;
;;;;;;;;;;HARS;
;;;;;;;;;;null;
;;;;;;;;;;HSPD1;
;;;;;;;;;;HRSP12;
;;;;;;;;;;RPL7;
;;;;;;;;;;MBNL3;
;;;;;;;;;;GTF2H2;
;;;;;;;;;;NUP37;
;;;;;;;;;;RAD18;
;;;;;;;;;;NUCKS1;
;;;;;;;;;;RNF7;
;;;;;;;;;;CCNC;
;;;;;;;;;;null;
;;;;;;;;;;RPL23;
;;;;;;;;;;TBL3;
;;;;;;;;;;CDC16;
;;;;;;;;;;CHEK2;
;;;;;;;;;;null;
;;;;;;;;;;BLVRA;
;;;;;;;;;;FAM60A;
;;;;;;;;;;MRPL32;
;;;;;;;;;;MCM4;
;;;;;;;;;;NUP133;
;;;;;;;;;;ILF2;
;;;;;;;;;;null;
;;;;;;;;;;null;
;;;;;;;;;;ZDHHC6;
;;;;;;;;;;OBFC2B;
;;;;;;;;;;null;
;;;;;;;;;;POLR3E;
;;;;;;;;;;MRPL11;
;;;;;;;;;;RPL23A;
;;;;;;;;;;RAD51C;
;;;;;;;;;;SFRS9;
;;;;;;;;;;RPL5;
;;;;;;;;;;IPO4;
;;;;;;;;;;DECR1;
;;;;;;;;;;NUP93;
;;;;;;;;;;SDHB;
;;;;;;;;;;OTUD6B;
;;;;;;;;;;POLA2;
;;;;;;;;;;NANP;
;;;;;;;;;;PA2G4;
;;;;;;;;;;POLR2B;
;;;;;;;;;;IPO11;
;;;;;;;;;;PSMB6;
;;;;;;;;;;MRPS28;
;;;;;;;;;;SEH1L;
;;;;;;;;;;UBE2J2;
;;;;;;;;;;TXNL4A;
;;;;;;;;;;PRKAR2A;
;;;;;;;;;;MCM2;
;;;;;;;;;;RPS14;
;;;;;;;;;;PES1;
;;;;;;;;;;NDUFV2;
;;;;;;;;;;BTBD10;
;;;;;;;;;;XPO7;
;;;;;;;;;;CCT7;
;;;;;;;;;;NCBP2;
;;;;;;;;;;SPCS3;
;;;;;;;;;;null;
;;;;;;;;;;null;
;;;;;;;;;;SLC19A1;
;;;;;;;;;;MIB1;
;;;;;;;;;;RPS23;
;;;;;;;;;;NUFIP1;
;;;;;;;;;;PGRMC2;
;;;;;;;;;;MDH1;
;;;;;;;;;;PUS7;
;;;;;;;;;;RPL4;
;;;;;;;;;;MRPL3;
;;;;;;;;;;RPS16;
;;;;;;;;;;UTP20;
;;;;;;;;;;SUMO3;
;;;;;;;;;;DTL;
;;;;;;;;;;SOD2;
;;;;;;;;;;SLC11A2;
;;;;;;;;;;EIF5A;
;;;;;;;;;;RBBP8;
;;;;;;;;;;THUMPD1;
;;;;;;;;;;CENPC1;
;;;;;;;;;;RPS3;
;;;;;;;;;;ATP5F1;
;;;;;;;;;;WDR55;
;;;;;;;;;;RPS4X;
;;;;;;;;;;SSRP1;
;;;;;;;;;;TBP;
;;;;;;;;;;TMEM33;
;;;;;;;;;;ASNSD1;
;;;;;;;;;;SAR1B;
;;;;;;;;;;CKS2;
;;;;;;;;;;null;
;;;;;;;;;;SUCLG2;
;;;;;;;;;;E2F1;
;;;;;;;;;;null;
;;;;;;;;;;null;
;;;;;;;;;;ANKRD49;
;;;;;;;;;;WEE1;
;;;;;;;;;;ALG3;
;;;;;;;;;;NSDHL;
;;;;;;;;;;MRPL17;
;;;;;;;;;;SMARCB1;
;;;;;;;;;;GSR;
;;;;;;;;;;UTP18;
;;;;;;;;;;null;
;;;;;;;;;;MRPS14;
;;;;;;;;;;CRIP1;
;;;;;;;;;;POLE3;
;;;;;;;;;;RPGR;
;;;;;;;;;;RPS28;
;;;;;;;;;;RNMT;
;;;;;;;;;;ELP3;
;;;;;;;;;;RPL7A;
;;;;;;;;;;RAB11A;
;;;;;;;;;;TSR1;
;;;;;;;;;;SHFM1;
;;;;;;;;;;RPLP1;
;;;;;;;;;;NUP35;
;;;;;;;;;;SLC35A3;
;;;;;;;;;;MRPL2;
;;;;;;;;;;FUCA2;
;;;;;;;;;;POLR1A;
;;;;;;;;;;CIRH1A;
;;;;;;;;;;MRPL19;
;;;;;;;;;;PRMT3;
;;;;;;;;;;null;
;;;;;;;;;;CFDP1;
;;;;;;;;;;PTPLAD1;
;;;;;;;;;;MRE11A;
;;;;;;;;;;VDAC2;
;;;;;;;;;;FMR1;
;;;;;;;;;;NOC4L;
;;;;;;;;;;RPL14;
;;;;;;;;;;TCEA1;
;;;;;;;;;;EI24;
;;;;;;;;;;null;
;;;;;;;;;;BCAS2;
;;;;;;;;;;null;
;;;;;;;;;;null;
;;;;;;;;;;ATP5G3;
;;;;;;;;;;FIGNL1;
;;;;;;;;;;GOLT1B;
;;;;;;;;;;NMD3;
;;;;;;;;;;BCCIP;
;;;;;;;;;;CCDC58;
;;;;;;;;;;null;
;;;;;;;;;;PPAT;
;;;;;;;;;;HIBCH;
;;;;;;;;;;CCT5;
;;;;;;;;;;STRAP;
;;;;;;;;;;METAP1;
;;;;;;;;;;METTL1;
;;;;;;;;;;OXA1L;
;;;;;;;;;;RPS3A;
;;;;;;;;;;YME1L1;
;;;;;;;;;;NDUFB11;
;;;;;;;;;;RIOK2;
;;;;;;;;;;C1QBP;
;;;;;;;;;;UMPS;
;;;;;;;;;;MGAT2;
;;;;;;;;;;POLE4;
;;;;;;;;;;GAS5;
;;;;;;;;;;TMTC4;
;;;;;;;;;;RPL10A;
;;;;;;;;;;RPIA;
;;;;;;;;;;XRCC2;
;;;;;;;;;;BRCA2;
;;;;;;;;;;ANAPC13;
;;;;;;;;;;TERF1;
;;;;;;;;;;PPRC1;
;;;;;;;;;;ZMPSTE24;
;;;;;;;;;;PET112L;
;;;;;;;;;;LRPPRC;
;;;;;;;;;;DDX51;
;;;;;;;;;;MCM7;
;;;;;;;;;;UQCRFS1;
;;;;;;;;;;null;
;;;;;;;;;;ALS2;
;;;;;;;;;;null;
;;;;;;;;;;MRPL48;
;;;;;;;;;;TFB2M;
;;;;;;;;;;COX6B1;
;;;;;;;;;;MRPS22;
;;;;;;;;;;BAG1;
;;;;;;;;;;null;
;;;;;;;;;;RPL15;
;;;;;;;;;;NUDT19;
;;;;;;;;;;NSF;
;;;;;;;;;;MRPS36;
;;;;;;;;;;NARG2;
;;;;;;;;;;TBCA;
;;;;;;;;;;KRR1;
;;;;;;;;;;PUS1;
;;;;;;;;;;HEATR1;
;;;;;;;;;;AFG3L1;
;;;;;;;;;;NDUFV1;
;;;;;;;;;;CLNS1A;
;;;;;;;;;;NVL;
;;;;;;;;;;NOL11;
;;;;;;;;;;SMU1;
;;;;;;;;;;TRAP1;
;;;;;;;;;;CKAP5;
;;;;;;;;;;XPOT;
;;;;;;;;;;LSS;
;;;;;;;;;;SNX30;
;;;;;;;;;;GSPT1;
;;;;;;;;;;FANCM;
;;;;;;;;;;ATP5J2;
;;;;;;;;;;TFAM;
;;;;;;;;;;null;
;;;;;;;;;;SC4MOL;
;;;;;;;;;;TCERG1;
;;;;;;;;;;MAPRE1;
;;;;;;;;;;SCPEP1;
;;;;;;;;;;NUP85;
;;;;;;;;;;SUCLG1;
;;;;;;;;;;RPL31;
;;;;;;;;;;MARCKS;
;;;;;;;;;;U2AF1;
;;;;;;;;;;WDR61;
;;;;;;;;;;IMPDH2;
;;;;;;;;;;POLR2J;
;;;;;;;;;;C1D;
;;;;;;;;;;PDIA4;
;;;;;;;;;;MCM5;
;;;;;;;;;;PSMB1;
;;;;;;;;;;EIF2S1;
;;;;;;;;;;VRK1;
;;;;;;;;;;POLI;
;;;;;;;;;;DDX19A;
;;;;;;;;;;RPS11;
;;;;;;;;;;null;
;;;;;;;;;;MRPS25;
;;;;;;;;;;MRPL50;
;;;;;;;;;;RPS20;
;;;;;;;;;;TIMM17A;
;;;;;;;;;;FUNDC2;
;;;;;;;;;;MTCP1;
;;;;;;;;;;null;
;;;;;;;;;;PARK7;
;;;;;;;;;;TRMT5;
;;;;;;;;;;RCL1;
;;;;;;;;;;XRN2;
;;;;;;;;;;null;
;;;;;;;;;;FOXK2;
;;;;;;;;;;MCTS1;
;;;;;;;;;;NUP62;
;;;;;;;;;;null;
;;;;;;;;;;POMT2;
;;;;;;;;;;PEBP1;
;;;;;;;;;;MRPL40;
;;;;;;;;;;TUBGCP5;
;;;;;;;;;;HELLS;
;;;;;;;;;;JAGN1;
;;;;;;;;;;ESD;
;;;;;;;;;;RFC2;
;;;;;;;;;;SFRS7;
;;;;;;;;;;RAB18;
;;;;;;;;;;SERF2;
;;;;;;;;;;RPL6;
;;;;;;;;;;GHITM;
;;;;;;;;;;null;
;;;;;;;;;;SLC7A1;
;;;;;;;;;;PCCA;
;;;;;;;;;;TSPAN6;
;;;;;;;;;;TXNL1;
;;;;;;;;;;POLD2;
;;;;;;;;;;TFB1M;
;;;;;;;;;;CASP7;
;;;;;;;;;;IPO8;
;;;;;;;;;;CCT8;
;;;;;;;;;;ADI1;
;;;;;;;;;;ALDH18A1;
;;;;;;;;;;GNG5;
;;;;;;;;;;null;
;;;;;;;;;;SUMO1;
;;;;;;;;;;GLO1;
;;;;;;;;;;SMARCAD1;
;;;;;;;;;;NDUFB4;
;;;;;;;;;;RPL26;
;;;;;;;;;;MTAP;
;;;;;;;;;;EEF1A1;
;;;;;;;;;;TMEM147;
;;;;;;;;;;KRTCAP2;
;;;;;;;;;;PHOSPHO2;
;;;;;;;;;;null;
;;;;;;;;;;RPS5;
;;;;;;;;;;TPRKB;
;;;;;;;;;;FADS1;
;;;;;;;;;;DDX10;
;;;;;;;;;;HMBS;
;;;;;;;;;;DBR1;
;;;;;;;;;;AP4M1;
;;;;;;;;;;RBMX2;
;;;;;;;;;;null;
;;;;;;;;;;PFKL;
;;;;;;;;;;RPL22L1;
;;;;;;;;;;BAZ1B;
;;;;;;;;;;RBM14;
;;;;;;;;;;ACSL5;
;;;;;;;;;;HMGCR;
;;;;;;;;;;MRPS21;
;;;;;;;;;;NUDT9;
;;;;;;;;;;RPL10;
;;;;;;;;;;null;
;;;;;;;;;;NMT2;
;;;;;;;;;;NOC3L;
;;;;;;;;;;GLRX2;
;;;;;;;;;;RPP14;
;;;;;;;;;;SPG20;
;;;;;;;;;;HADHB;
;;;;;;;;;;PSMC5;
;;;;;;;;;;TPR;
;;;;;;;;;;ABCB7;
;;;;;;;;;;RAD1;
;;;;;;;;;;NUP160;
;;;;;;;;;;AFG3L2;
;;;;;;;;;;SYCE2;
;;;;;;;;;;RPS17;
;;;;;;;;;;NUP54;
;;;;;;;;;;CASP3;
;;;;;;;;;;GSTP1;
;;;;;;;;;;null;
;;;;;;;;;;RBBP7;
;;;;;;;;;;POLA1;
;;;;;;;;;;SCFD1;
;;;;;;;;;;TRIM32;
;;;;;;;;;;RPP40;
;;;;;;;;;;SLBP;
;;;;;;;;;;VARS;
;;;;;;;;;;RNF138;
;;;;;;;;;;INTS7;
;;;;;;;;;;DNAJC10;
;;;;;;;;;;ASS1;
;;;;;;;;;;SETDB1;
;;;;;;;;;;SYNCRIP;
;;;;;;;;;;FADS2;
;;;;;;;;;;BAG2;
;;;;;;;;;;JOSD1;
;;;;;;;;;;IMPA2;
;;;;;;;;;;ALG5;
;;;;;;;;;;PDIA3;
;;;;;;;;;;MTCH2;
;;;;;;;;;;ATR;
;;;;;;;;;;NT5C3;
;;;;;;;;;;KPNB1;
;;;;;;;;;;GUSB;
;;;;;;;;;;GNB2L1;
;;;;;;;;;;LAP3;
;;;;;;;;;;NDUFA9;
;;;;;;;;;;TTC1;
;;;;;;;;;;RPS19;
;;;;;;;;;;CPT1A;
;;;;;;;;;;ST13;
;;;;;;;;;;CASP8AP2;
;;;;;;;;;;TARDBP;
;;;;;;;;;;ME2;
;;;;;;;;;;TXNDC12;
;;;;;;;;;;OAZ1;
;;;;;;;;;;USP16;
;;;;;;;;;;VPS29;
;;;;;;;;;;TMEM14C;
;;;;;;;;;;CALU;
;;;;;;;;;;null;
;;;;;;;;;;GSTO1;
;;;;;;;;;;RSRC1;
;;;;;;;;;;RPL36A;
;;;;;;;;;;PARP2;
;;;;;;;;;;null;
;;;;;;;;;;ACTR6;
;;;;;;;;;;BTBD1;
;;;;;;;;;;IDE;
;;;;;;;;;;null;
;;;;;;;;;;FDFT1;
;;;;;;;;;;null;
;;;;;;;;;;HERC4;
;;;;;;;;;;PSMD2;
;;;;;;;;;;IFRD2;
;;;;;;;;;;PRPF31;
;;;;;;;;;;CDC5L;
;;;;;;;;;;OTUD4;
;;;;;;;;;;TUFM;
