ETP_DN2_DOWN;ETP_DN2_UP;DN2-DN3a_DOWN;DN2-DN3a_UP;DN3a_DN3b_DOWN;DN3a_DN3b_UP;DN3b_DN3-4_DOWN;DN3b_DN3-4_UP;DN3-4_ISP_DOWN;DN3-4_ISP_UP;ISP_DP_DOWN;ISP_DP_UP
TNFSF11;TCF7;RGS2;ZBP1;ARID5A;PSAT1;;;;SFRS9;PDSS1;KCNJ4
PRTN3;SCIN;PBK;RPS6KL1;ERN1;LIG1;;;;RPS23;TRIP13;PRRT1
PTGER3;PRC1;CCNB2;TGFBR3;GRIA3;RACGAP1;;;;RPS4X;null;PDLIM2
MEIS1;RPS6KA2;KIF23;SYTL3;BIN1;DHFR;;;;ESCO1;SHMT2;CKB
BCL6;SLC25A24;SGOL1;NFATC2;ITGAE;TCF19;;;;FIGNL1;CENPK;TRPV6
ACVR2A;IL7R;HMMR;null;ZFP36L1;CCNE1;;;;YME1L1;SKP2;null
IL18RAP;null;SUPT16H;NPAS2;CD53;MTX2;;;;RPL15;PSMD1;BBC3
IL2RB;TRAT1;BUB1;PTPRF;ARMC7;HIGD1A;;;;RPL31;SPAG5;TRIM8
GFRA1;ALS2;11-sept;ITGAE;SCIN;NCAPH;;;;IMPDH2;NUDCD2;KLF13
MYCT1;MARCKS;GNG12;ZFP36L1;BMF;NEFH;;;;FUNDC2;RBM17;SMOC1
SIRPA;LAT;MAD2L1;ABLIM1;SLC27A1;RAD51AP1;;;;PAFAH1B1;DHX36;CD97
ZFP36;DCK;VIM;ETS1;EYA2;KIF22;;;;SERF2;BLM;GALNT4
LDLRAP1;ADORA2A;TMSB10;SCML4;CD82;PLK4;;;;RPL22L1;ASPM;null
GCNT2;null;NRGN;ARMC7;PAPSS2;MRPL18;;;;POLA1;PSAT1;MTSS1
NR1D2;ANXA2;CCNB1;CAMK4;CD37;ANLN;;;;SNORD22;LIG1;P2RX1
NR4A3;PRKCA;ANKRD32;BMF;MXD4;SLC7A5;;;;DNAJC10;FASN;DGKZ
DOCK1;PDLIM1;E2F8;SLC37A1;CCNG2;PBK;;;;RPS19;DHFR;PDK2
HGF;ZDHHC8;SMC2;CD82;SMPDL3A;CCNB2;;;;WDR26;TCF19;MYLIP
LGMN;SYTL2;HK2;IGF2R;MAP3K8;KIF23;;;;ACTR6;COQ7;ONECUT3
BCL11A;SVIL;CIT;GLCCI1;ZBTB20;SGOL1;;;;RTTN;THOC4;null
NR4A2;CD247;RAD51;ZAP70;NOTCH1;HIST1H3D;;;;null;CCNE1;ABCA1
SULF2;MPP4;FGL2;EDEM1;CMAH;HMMR;;;;STRN;MTX2;PTK2B
HOXA9;CDH1;KIF2C;PAPSS2;GRAMD1A;SUPT16H;;;;null;SNX6;CD52
SLC18A1;SMC4;FLNA;C1QTNF1;TCN2;BUB1;;;;IPP;ERO1L;RGS14
TNFSF8;CAMKV;AQP9;LDHB;ABTB1;11-sept;;;;MAN1A2;HIGD1A;null
NFKBIA;HMGCS2;IL12RB2;ACTN1;CTSD;CDC20;;;;VDAC3;DNAJC19;TXNIP
null;DGKE;KIF20A;NOTCH1;LPP;MAD2L1;;;;RB1CC1;NCAPH;ASB12
NFKBIZ;GNAI3;TPX2;CMAH;CTSE;CHTF18;;;;null;NEFH;PSTPIP1
PLAUR;ATP8A1;LMNB1;HIVEP2;TMEM71;CCNB1;;;;STAG2;RAD51AP1;PRH1
RGL1;null;CHEK1;TRAF3IP2;BTG1;TPI1;;;;RAG1;PLK4;HMHA1
PLK2;RRAS2;PTGS2;SNAI3;DAPK1;PRMT7;;;;IFIT2;NSFL1C;PRKCQ
EYA1;null;SMC5;SLC35D1;PLXDC1;GCLM;;;;;MRPL18;SEPP1
CD82;BCL11B;SLC25A13;CBL;FNDC1;ANKRD32;;;;;ANLN;SP100
NR4A1;NOTCH3;TUBA8;SLC11A2;MYCN;E2F8;;;;;ALDOA;BCL2L1
MAFF;PLXDC2;CBX5;DAPK1;KLHL24;CDC7;;;;;SLC7A5;ETS2
CD33;SEMA4A;CCNF;PLXDC1;null;MTHFD2;;;;;RPS9;null
PIK3AP1;ALDH1B1;AMD1;ABCC5;ENTPD1;SMC2;;;;;PBK;null
MAP3K8;GBP4;null;ANGPTL7;ENG;HK2;;;;;CCNB2;CCM2
null;IL17RB;CDC6;HPCAL1;RAPGEF3;LSM2;;;;;KIF23;ARID5B
REL;CD3G;MACF1;PPT2;FADS3;ORC2L;;;;;SGOL1;PLD3
HAVCR2;DPP4;NCAPG2;SPATA6;GRASP;CIT;;;;;LASS5;AP3M2
EGR1;SOCS2;WDHD1;RAPGEF3;IFNGR1;RAD51;;;;;RBM8A;BCAT2
VPS37B;IFT80;AURKB;GRASP;BCL2L14;KIF2C;;;;;CLASP2;TMCC3
CXCL2;MUC13;GPR97;IFNGR1;ABCG1;MTBP;;;;;CST9;CHST10
CSF1R;RAG2;CTSG;LAT;NUDT16;UBE2S;;;;;CDK2;EIF4E3
SMAD7;CPA3;TIPIN;TRPT1;DTX1;NUP155;;;;;HMMR;RARRES2
CD74;PPT1;PASK;DTX1;SFXN3;KIF20A;;;;;SUPT16H;CSNK1E
IL10;null;FOSB;ENPP5;ENPP5;TPX2;;;;;BUB1;FOXJ2
S100A4;FUT8;HIST1H4I;ZDHHC14;ZYX;LMNB1;;;;;AAAS;null
GRAMD1A;SEC24D;CD52;GRINA;LTB;CHEK1;;;;;11-sept;DYRK1B
MEF2C;LY6D;PTPN12;RALGPS2;GRINA;RECQL4;;;;;CDC20;BCL6
CREM;PPIC;CYCS;TRAF1;RNASEL;null;;;;;GINS4;INHBC
CCL3;IL2RA;FABP5;ADCY6;YPEL5;RCC1;;;;;TARS;null
IL17RE;null;KIF5B;RTKN;CACNB1;CAD;;;;;SFRS1;KCNA7
null;PLSCR1;AZIN1;CACNB1;SLA2;AURKA;;;;;UQCRC2;IRX4
LMO2;null;null;TRIM46;TLR6;PHF5A;;;;;MAD2L1;MIDN
ITSN1;H19;IQGAP2;E2F4;null;CBX5;;;;;FKBP3;DGKA
TLR7;;SFRS3;NEBL;TRIM46;DDX21;;;;;SLC16A1;CD5
UBE2L6;;KHDRBS3;KLF3;null;CD97;;;;;CHTF18;XCL1
ITGA9;;ANTXR2;null;DTX3;LRRC42;;;;;RAD23B;null
GPR132;;GALNT1;ZDHHC8;PINK1;CCNF;;;;;ZCCHC10;FURIN
IER3;;HMGB3;ARHGEF10L;PARP6;AMD1;;;;;RPL30;PHOSPHO1
IL12A;;TIMELESS;NR3C1;WDR13;LYAR;;;;;EXOSC1;PLA2G7
CCL4;;MASTL;CD200;CBX4;null;;;;;PSMA7;WNT8B
BMPR2;;KIF18A;CD247;GM2A;CDC6;;;;;TOP2A;KCNH3
PPP3CA;;FGF3;null;ARHGEF10L;INCENP;;;;;CDK8;null
